URL,Version,Content Site,Expected Path
"/docs/:version/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language"
"/docs/:version/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language"
"/docs/:version/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-text/specify-language-text-index/use-any-field-to-specify-language"
"/docs/:version/core/indexes/index-types/index-text/control-text-search-results","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-text/control-text-search-results"
"/docs/:version/core/indexes/index-types/index-text/control-text-search-results","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-text/control-text-search-results"
"/docs/:version/core/indexes/index-types/index-text/control-text-search-results","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-text/control-text-search-results"
"/docs/:version/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search"
"/docs/:version/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search"
"/docs/:version/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-text/limit-number-of-items-scanned-for-text-search"
"/docs/:version/core/indexes/index-types/index-text/text-index-properties","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-text/text-index-properties"
"/docs/:version/core/indexes/index-types/index-text/text-index-properties","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-text/text-index-properties"
"/docs/:version/core/indexes/index-types/index-text/text-index-properties","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-text/text-index-properties"
"/docs/:version/core/indexes/index-types/index-text/text-index-restrictions","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-text/text-index-restrictions"
"/docs/:version/core/indexes/index-types/index-text/text-index-restrictions","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-text/text-index-restrictions"
"/docs/:version/core/indexes/index-types/index-text/text-index-restrictions","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-text/text-index-restrictions"
"/docs/:version/core/indexes/index-types/index-text/text-index-versions","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-text/text-index-versions"
"/docs/:version/core/indexes/index-types/index-text/text-index-versions","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-text/text-index-versions"
"/docs/:version/core/indexes/index-types/index-text/text-index-versions","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-text/text-index-versions"
"/docs/:version/reference/write-concern/write-lifecycle","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/reference/write-concern/write-lifecycle"
"/docs/:version/reference/write-concern/write-lifecycle","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/reference/write-concern/write-lifecycle"
"/docs/:version/reference/write-concern/write-lifecycle","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/reference/write-concern/write-lifecycle"
"/docs/:version/core/dot-dollar-considerations","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/dot-dollar-considerations"
"/docs/:version/core/dot-dollar-considerations/dollar-prefix","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/dot-dollar-considerations/dollar-prefix"
"/docs/:version/core/dot-dollar-considerations/dollar-prefix","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/dot-dollar-considerations/dollar-prefix"
"/docs/:version/core/dot-dollar-considerations/dollar-prefix","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/dot-dollar-considerations/dollar-prefix"
